Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH2
-3.200e-02,0.00597656
-3.197e-02,-0.195859
-3.194e-02,-0.195859
-3.190e-02,-0.214258
-3.187e-02,-0.214258
-3.184e-02,-0.0221484
-3.181e-02,-0.0221484
-3.178e-02,0.233906
-3.174e-02,0.233906
-3.171e-02,0.314375
-3.168e-02,0.314375
-3.165e-02,0.0608984
-3.162e-02,0.0608984
-3.158e-02,-0.308242
-3.155e-02,-0.308242
-3.152e-02,-0.449141
-3.149e-02,-0.449141
-3.146e-02,-0.382695
-3.142e-02,-0.382695
-3.139e-02,-0.23332
-3.136e-02,-0.23332
-3.133e-02,0.0965234
-3.130e-02,0.0965234
-3.126e-02,0.357852
-3.123e-02,0.357852
-3.120e-02,0.265195
-3.117e-02,0.265195
-3.114e-02,-0.0726172
-3.110e-02,-0.0726172
-3.107e-02,-0.405898
-3.104e-02,-0.405898
-3.101e-02,-0.400898
-3.098e-02,-0.400898
-3.094e-02,0.0615625
-3.091e-02,0.0615625
-3.088e-02,0.539023
-3.085e-02,0.539023
-3.082e-02,0.521133
-3.078e-02,0.521133
-3.075e-02,0.187969
-3.072e-02,0.187969
-3.069e-02,-0.0364844
-3.066e-02,-0.0364844
-3.062e-02,-0.132461
-3.059e-02,-0.132461
-3.056e-02,-0.0644922
-3.053e-02,-0.0644922
-3.050e-02,0.10082
-3.046e-02,0.10082
-3.043e-02,0.182539
-3.040e-02,0.182539
-3.037e-02,0.0738281
-3.034e-02,0.0738281
-3.030e-02,-0.139688
-3.027e-02,-0.139688
-3.024e-02,-0.22168
-3.021e-02,-0.22168
-3.018e-02,-0.0800781
-3.014e-02,-0.0800781
-3.011e-02,0.17957
-3.008e-02,0.17957
-3.005e-02,0.314844
-3.002e-02,0.314844
-2.998e-02,0.130039
-2.995e-02,0.130039
-2.992e-02,-0.237227
-2.989e-02,-0.237227
-2.986e-02,-0.429453
-2.982e-02,-0.429453
-2.979e-02,-0.386758
-2.976e-02,-0.386758
-2.973e-02,-0.2725
-2.970e-02,-0.2725
-2.966e-02,0.000390624
-2.963e-02,0.000390624
-2.960e-02,0.295938
-2.957e-02,0.295938
-2.954e-02,0.298672
-2.950e-02,0.298672
-2.947e-02,-0.00664063
-2.944e-02,-0.00664063
-2.941e-02,-0.359805
-2.938e-02,-0.359805
-2.934e-02,-0.40418
-2.931e-02,-0.40418
-2.928e-02,0.00621094
-2.925e-02,0.00621094
-2.922e-02,0.489258
-2.918e-02,0.489258
-2.915e-02,0.52457
-2.912e-02,0.52457
-2.909e-02,0.205156
-2.906e-02,0.205156
-2.902e-02,-0.0109375
-2.899e-02,-0.0109375
-2.896e-02,-0.0928516
-2.893e-02,-0.0928516
-2.890e-02,-0.0483984
-2.886e-02,-0.0483984
-2.883e-02,0.0716406
-2.880e-02,0.0716406
-2.877e-02,0.136406
-2.874e-02,0.136406
-2.870e-02,0.0575391
-2.867e-02,0.0575391
-2.864e-02,-0.0996875
-2.861e-02,-0.0996875
-2.858e-02,-0.164805
-2.854e-02,-0.164805
-2.851e-02,-0.0397266
-2.848e-02,-0.0397266
-2.845e-02,0.162852
-2.842e-02,0.162852
-2.838e-02,0.219727
-2.835e-02,0.219727
-2.832e-02,0.0375
-2.829e-02,0.0375
-2.826e-02,-0.221602
-2.822e-02,-0.221602
-2.819e-02,-0.280742
-2.816e-02,-0.280742
-2.813e-02,-0.154844
-2.810e-02,-0.154844
-2.806e-02,-0.00679688
-2.803e-02,-0.00679688
-2.800e-02,0.036875
-2.797e-02,0.036875
-2.794e-02,-0.0665625
-2.790e-02,-0.0665625
-2.787e-02,-0.259922
-2.784e-02,-0.259922
-2.781e-02,-0.286641
-2.778e-02,-0.286641
-2.774e-02,-0.0110156
-2.771e-02,-0.0110156
-2.768e-02,0.329922
-2.765e-02,0.329922
-2.762e-02,0.36
-2.758e-02,0.36
-2.755e-02,0.0755469
-2.752e-02,0.0755469
-2.749e-02,-0.260391
-2.746e-02,-0.260391
-2.742e-02,-0.468203
-2.739e-02,-0.468203
-2.736e-02,-0.253828
-2.733e-02,-0.253828
-2.730e-02,0.288008
-2.726e-02,0.288008
-2.723e-02,0.600273
-2.720e-02,0.600273
-2.717e-02,0.39125
-2.714e-02,0.39125
-2.710e-02,0.0789063
-2.707e-02,0.0789063
-2.704e-02,-0.0891016
-2.701e-02,-0.0891016
-2.698e-02,-0.119492
-2.694e-02,-0.119492
-2.691e-02,-0.00144531
-2.688e-02,-0.00144531
-2.685e-02,0.151016
-2.682e-02,0.151016
-2.678e-02,0.156016
-2.675e-02,0.156016
-2.672e-02,-0.0185938
-2.669e-02,-0.0185938
-2.666e-02,-0.198633
-2.662e-02,-0.198633
-2.659e-02,-0.182617
-2.656e-02,-0.182617
-2.653e-02,0.0335937
-2.650e-02,0.0335937
-2.646e-02,0.272148
-2.643e-02,0.272148
-2.640e-02,0.257461
-2.637e-02,0.257461
-2.634e-02,-0.0525
-2.630e-02,-0.0525
-2.627e-02,-0.358242
-2.624e-02,-0.358242
-2.621e-02,-0.405313
-2.618e-02,-0.405313
-2.614e-02,-0.323594
-2.611e-02,-0.323594
-2.608e-02,-0.168242
-2.605e-02,-0.168242
-2.602e-02,0.122266
-2.598e-02,0.122266
-2.595e-02,0.316289
-2.592e-02,0.316289
-2.589e-02,0.181719
-2.586e-02,0.181719
-2.582e-02,-0.17918
-2.579e-02,-0.17918
-2.576e-02,-0.414766
-2.573e-02,-0.414766
-2.570e-02,-0.219219
-2.566e-02,-0.219219
-2.563e-02,0.271602
-2.560e-02,0.271602
-2.557e-02,0.543438
-2.554e-02,0.543438
-2.550e-02,0.337344
-2.547e-02,0.337344
-2.544e-02,0.0547266
-2.541e-02,0.0547266
-2.538e-02,-0.0389844
-2.534e-02,-0.0389844
-2.531e-02,-0.018125
-2.528e-02,-0.018125
-2.525e-02,0.0430469
-2.522e-02,0.0430469
-2.518e-02,0.0728125
-2.515e-02,0.0728125
-2.512e-02,0.0232812
-2.509e-02,0.0232812
-2.506e-02,-0.0552734
-2.502e-02,-0.0552734
-2.499e-02,-0.0820703
-2.496e-02,-0.0820703
-2.493e-02,-0.00785156
-2.490e-02,-0.00785156
-2.486e-02,0.0951953
-2.483e-02,0.0951953
-2.480e-02,0.108047
-2.477e-02,0.108047
-2.474e-02,0.00164062
-2.470e-02,0.00164062
-2.467e-02,-0.122695
-2.464e-02,-0.122695
-2.461e-02,-0.122031
-2.458e-02,-0.122031
-2.454e-02,0.0317969
-2.451e-02,0.0317969
-2.448e-02,0.188438
-2.445e-02,0.188438
-2.442e-02,0.159297
-2.438e-02,0.159297
-2.435e-02,-0.061875
-2.432e-02,-0.061875
-2.429e-02,-0.248828
-2.426e-02,-0.248828
-2.422e-02,-0.201758
-2.419e-02,-0.201758
-2.416e-02,-0.00679688
-2.413e-02,-0.00679688
-2.410e-02,0.218594
-2.406e-02,0.218594
-2.403e-02,0.335078
-2.400e-02,0.335078
-2.397e-02,0.129961
-2.394e-02,0.129961
-2.390e-02,-0.256602
-2.387e-02,-0.256602
-2.384e-02,-0.453633
-2.381e-02,-0.453633
-2.378e-02,-0.412539
-2.374e-02,-0.412539
-2.371e-02,-0.276367
-2.368e-02,-0.276367
-2.365e-02,0.0532422
-2.362e-02,0.0532422
-2.358e-02,0.355547
-2.355e-02,0.355547
-2.352e-02,0.308398
-2.349e-02,0.308398
-2.346e-02,-0.00417969
-2.342e-02,-0.00417969
-2.339e-02,-0.340391
-2.336e-02,-0.340391
-2.333e-02,-0.454727
-2.330e-02,-0.454727
-2.326e-02,-0.101484
-2.323e-02,-0.101484
-2.320e-02,0.438711
-2.317e-02,0.438711
-2.314e-02,0.584648
-2.310e-02,0.584648
-2.307e-02,0.283359
-2.304e-02,0.283359
-2.301e-02,0.0114453
-2.298e-02,0.0114453
-2.294e-02,-0.125781
-2.291e-02,-0.125781
-2.288e-02,-0.102109
-2.285e-02,-0.102109
-2.282e-02,0.0535938
-2.278e-02,0.0535938
-2.275e-02,0.181523
-2.272e-02,0.181523
-2.269e-02,0.123594
-2.266e-02,0.123594
-2.262e-02,-0.0857813
-2.259e-02,-0.0857813
-2.256e-02,-0.229727
-2.253e-02,-0.229727
-2.250e-02,-0.151641
-2.246e-02,-0.151641
-2.243e-02,0.0880859
-2.240e-02,0.0880859
-2.237e-02,0.305703
-2.234e-02,0.305703
-2.230e-02,0.244961
-2.227e-02,0.244961
-2.224e-02,-0.106641
-2.221e-02,-0.106641
-2.218e-02,-0.409258
-2.214e-02,-0.409258
-2.211e-02,-0.430352
-2.208e-02,-0.430352
-2.205e-02,-0.333086
-2.202e-02,-0.333086
-2.198e-02,-0.104688
-2.195e-02,-0.104688
-2.192e-02,0.237695
-2.189e-02,0.237695
-2.186e-02,0.361719
-2.182e-02,0.361719
-2.179e-02,0.12957
-2.176e-02,0.12957
-2.173e-02,-0.238242
-2.170e-02,-0.238242
-2.166e-02,-0.4625
-2.163e-02,-0.4625
-2.160e-02,-0.236445
-2.157e-02,-0.236445
-2.154e-02,0.305039
-2.150e-02,0.305039
-2.147e-02,0.601172
-2.144e-02,0.601172
-2.141e-02,0.379414
-2.138e-02,0.379414
-2.134e-02,0.0678516
-2.131e-02,0.0678516
-2.128e-02,-0.0950781
-2.125e-02,-0.0950781
-2.122e-02,-0.114492
-2.118e-02,-0.114492
-2.115e-02,0.00835937
-2.112e-02,0.00835937
-2.109e-02,0.153984
-2.106e-02,0.153984
-2.102e-02,0.154414
-2.099e-02,0.154414
-2.096e-02,-0.0214063
-2.093e-02,-0.0214063
-2.090e-02,-0.20168
-2.086e-02,-0.20168
-2.083e-02,-0.178711
-2.080e-02,-0.178711
-2.077e-02,0.0451953
-2.074e-02,0.0451953
-2.070e-02,0.277656
-2.067e-02,0.277656
-2.064e-02,0.247891
-2.061e-02,0.247891
-2.058e-02,-0.0688281
-2.054e-02,-0.0688281
-2.051e-02,-0.369688
-2.048e-02,-0.369688
-2.045e-02,-0.402969
-2.042e-02,-0.402969
-2.038e-02,-0.318633
-2.035e-02,-0.318633
-2.032e-02,-0.159961
-2.029e-02,-0.159961
-2.026e-02,0.135313
-2.022e-02,0.135313
-2.019e-02,0.320703
-2.016e-02,0.320703
-2.013e-02,0.16875
-2.010e-02,0.16875
-2.006e-02,-0.193945
-2.003e-02,-0.193945
-2.000e-02,-0.416563
-1.997e-02,-0.416563
-1.994e-02,-0.200664
-1.990e-02,-0.200664
-1.987e-02,0.293633
-1.984e-02,0.293633
-1.981e-02,0.546953
-1.978e-02,0.546953
-1.974e-02,0.322578
-1.971e-02,0.322578
-1.968e-02,0.0417188
-1.965e-02,0.0417188
-1.962e-02,-0.044375
-1.958e-02,-0.044375
-1.955e-02,-0.0125
-1.952e-02,-0.0125
-1.949e-02,0.0520313
-1.946e-02,0.0520313
-1.942e-02,0.0694922
-1.939e-02,0.0694922
-1.936e-02,0.0101953
-1.933e-02,0.0101953
-1.930e-02,-0.0637109
-1.926e-02,-0.0637109
-1.923e-02,-0.0727734
-1.920e-02,-0.0727734
-1.917e-02,0.00390625
-1.914e-02,0.00390625
-1.910e-02,0.105234
-1.907e-02,0.105234
-1.904e-02,0.104336
-1.901e-02,0.104336
-1.898e-02,-0.0133984
-1.894e-02,-0.0133984
-1.891e-02,-0.1325
-1.888e-02,-0.1325
-1.885e-02,-0.10707
-1.882e-02,-0.10707
-1.878e-02,0.0505469
-1.875e-02,0.0505469
-1.872e-02,0.193125
-1.869e-02,0.193125
-1.866e-02,0.138867
-1.862e-02,0.138867
-1.859e-02,-0.0857422
-1.856e-02,-0.0857422
-1.853e-02,-0.249297
-1.850e-02,-0.249297
-1.846e-02,-0.178672
-1.843e-02,-0.178672
-1.840e-02,0.028125
-1.837e-02,0.028125
-1.834e-02,0.260742
-1.830e-02,0.260742
-1.827e-02,0.325234
-1.824e-02,0.325234
-1.821e-02,0.0585547
-1.818e-02,0.0585547
-1.814e-02,-0.320859
-1.811e-02,-0.320859
-1.808e-02,-0.458789
-1.805e-02,-0.458789
-1.802e-02,-0.392734
-1.798e-02,-0.392734
-1.795e-02,-0.222227
-1.792e-02,-0.222227
-1.789e-02,0.133789
-1.786e-02,0.133789
-1.782e-02,0.386328
-1.779e-02,0.386328
-1.776e-02,0.261602
-1.773e-02,0.261602
-1.770e-02,-0.0680078
-1.766e-02,-0.0680078
-1.763e-02,-0.38707
-1.760e-02,-0.38707
-1.757e-02,-0.430117
-1.754e-02,-0.430117
-1.750e-02,-0.013125
-1.747e-02,-0.013125
-1.744e-02,0.500898
-1.741e-02,0.500898
-1.738e-02,0.552734
-1.734e-02,0.552734
-1.731e-02,0.225664
-1.728e-02,0.225664
-1.725e-02,-0.0151172
-1.722e-02,-0.0151172
-1.718e-02,-0.12668
-1.715e-02,-0.12668
-1.712e-02,-0.0803516
-1.709e-02,-0.0803516
-1.706e-02,0.0832422
-1.702e-02,0.0832422
-1.699e-02,0.187422
-1.696e-02,0.187422
-1.693e-02,0.0934375
-1.690e-02,0.0934375
-1.686e-02,-0.119531
-1.683e-02,-0.119531
-1.680e-02,-0.232773
-1.677e-02,-0.232773
-1.674e-02,-0.113203
-1.670e-02,-0.113203
-1.667e-02,0.140273
-1.664e-02,0.140273
-1.661e-02,0.316602
-1.658e-02,0.316602
-1.654e-02,0.173711
-1.651e-02,0.173711
-1.648e-02,-0.193008
-1.645e-02,-0.193008
-1.642e-02,-0.427813
-1.638e-02,-0.427813
-1.635e-02,-0.401914
-1.632e-02,-0.401914
-1.629e-02,-0.293203
-1.626e-02,-0.293203
-1.622e-02,-0.0358984
-1.619e-02,-0.0358984
-1.616e-02,0.279414
-1.613e-02,0.279414
-1.610e-02,0.326641
-1.606e-02,0.326641
-1.603e-02,0.0486719
-1.600e-02,0.0486719
-1.597e-02,-0.319219
-1.594e-02,-0.319219
-1.590e-02,-0.443789
-1.587e-02,-0.443789
-1.584e-02,-0.0872266
-1.581e-02,-0.0872266
-1.578e-02,0.437891
-1.574e-02,0.437891
-1.571e-02,0.568711
-1.568e-02,0.568711
-1.565e-02,0.267031
-1.562e-02,0.267031
-1.558e-02,0.0128125
-1.555e-02,0.0128125
-1.552e-02,-0.105117
-1.549e-02,-0.105117
-1.546e-02,-0.0795703
-1.542e-02,-0.0795703
-1.539e-02,0.0487891
-1.536e-02,0.0487891
-1.533e-02,0.15082
-1.530e-02,0.15082
-1.526e-02,0.100469
-1.523e-02,0.100469
-1.520e-02,-0.0797656
-1.517e-02,-0.0797656
-1.514e-02,-0.195352
-1.510e-02,-0.195352
-1.507e-02,-0.0964453
-1.504e-02,-0.0964453
-1.501e-02,0.140117
-1.498e-02,0.140117
-1.494e-02,0.267383
-1.491e-02,0.267383
-1.488e-02,0.111328
-1.485e-02,0.111328
-1.482e-02,-0.201836
-1.478e-02,-0.201836
-1.475e-02,-0.357227
-1.472e-02,-0.357227
-1.469e-02,-0.284414
-1.466e-02,-0.284414
-1.462e-02,-0.203164
-1.459e-02,-0.203164
-1.456e-02,-0.141797
-1.453e-02,-0.141797
-1.450e-02,0.0282031
-1.446e-02,0.0282031
-1.443e-02,0.190391
-1.440e-02,0.190391
-1.437e-02,0.154688
-1.434e-02,0.154688
-1.430e-02,-0.0687109
-1.427e-02,-0.0687109
-1.424e-02,-0.258086
-1.421e-02,-0.258086
-1.418e-02,-0.180078
-1.414e-02,-0.180078
-1.411e-02,0.125234
-1.408e-02,0.125234
-1.405e-02,0.341719
-1.402e-02,0.341719
-1.398e-02,0.21125
-1.395e-02,0.21125
-1.392e-02,-0.148555
-1.389e-02,-0.148555
-1.386e-02,-0.432305
-1.382e-02,-0.432305
-1.379e-02,-0.295742
-1.376e-02,-0.295742
-1.373e-02,0.209453
-1.370e-02,0.209453
-1.366e-02,0.573984
-1.363e-02,0.573984
-1.360e-02,0.420586
-1.357e-02,0.420586
-1.354e-02,0.105742
-1.350e-02,0.105742
-1.347e-02,-0.0570313
-1.344e-02,-0.0570313
-1.341e-02,-0.0956641
-1.338e-02,-0.0956641
-1.334e-02,-0.0147656
-1.331e-02,-0.0147656
-1.328e-02,0.109023
-1.325e-02,0.109023
-1.322e-02,0.130352
-1.318e-02,0.130352
-1.315e-02,0.00507812
-1.312e-02,0.00507812
-1.309e-02,-0.146992
-1.306e-02,-0.146992
-1.302e-02,-0.147617
-1.299e-02,-0.147617
-1.296e-02,0.033125
-1.293e-02,0.033125
-1.290e-02,0.215586
