Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH2
-3.200e-03,-0.268398
-3.197e-03,-0.258047
-3.194e-03,-0.258047
-3.190e-03,-0.251953
-3.187e-03,-0.251953
-3.184e-03,-0.243633
-3.181e-03,-0.243633
-3.178e-03,-0.243047
-3.174e-03,-0.243047
-3.171e-03,-0.243984
-3.168e-03,-0.243984
-3.165e-03,-0.246875
-3.162e-03,-0.246875
-3.158e-03,-0.243789
-3.155e-03,-0.243789
-3.152e-03,-0.244102
-3.149e-03,-0.244102
-3.146e-03,-0.241797
-3.142e-03,-0.241797
-3.139e-03,-0.235352
-3.136e-03,-0.235352
-3.133e-03,-0.227813
-3.130e-03,-0.227813
-3.126e-03,-0.220547
-3.123e-03,-0.220547
-3.120e-03,-0.20957
-3.117e-03,-0.20957
-3.114e-03,-0.199648
-3.110e-03,-0.199648
-3.107e-03,-0.18582
-3.104e-03,-0.18582
-3.101e-03,-0.169414
-3.098e-03,-0.169414
-3.094e-03,-0.151563
-3.091e-03,-0.151563
-3.088e-03,-0.131836
-3.085e-03,-0.131836
-3.082e-03,-0.111563
-3.078e-03,-0.111563
-3.075e-03,-0.089375
-3.072e-03,-0.089375
-3.069e-03,-0.0644531
-3.066e-03,-0.0644531
-3.062e-03,-0.0379297
-3.059e-03,-0.0379297
-3.056e-03,-0.0114453
-3.053e-03,-0.0114453
-3.050e-03,0.0144141
-3.046e-03,0.0144141
-3.043e-03,0.0438281
-3.040e-03,0.0438281
-3.037e-03,0.0696875
-3.034e-03,0.0696875
-3.030e-03,0.0940234
-3.027e-03,0.0940234
-3.024e-03,0.121797
-3.021e-03,0.121797
-3.018e-03,0.149102
-3.014e-03,0.149102
-3.011e-03,0.173828
-3.008e-03,0.173828
-3.005e-03,0.195781
-3.002e-03,0.195781
-2.998e-03,0.213828
-2.995e-03,0.213828
-2.992e-03,0.234023
-2.989e-03,0.234023
-2.986e-03,0.249883
-2.982e-03,0.249883
-2.979e-03,0.260469
-2.976e-03,0.260469
-2.973e-03,0.268672
-2.970e-03,0.268672
-2.966e-03,0.276289
-2.963e-03,0.276289
-2.960e-03,0.283789
-2.957e-03,0.283789
-2.954e-03,0.28707
-2.950e-03,0.28707
-2.947e-03,0.282617
-2.944e-03,0.282617
-2.941e-03,0.273633
-2.938e-03,0.273633
-2.934e-03,0.262539
-2.931e-03,0.262539
-2.928e-03,0.251875
-2.925e-03,0.251875
-2.922e-03,0.232852
-2.918e-03,0.232852
-2.915e-03,0.215039
-2.912e-03,0.215039
-2.909e-03,0.193828
-2.906e-03,0.193828
-2.902e-03,0.166992
-2.899e-03,0.166992
-2.896e-03,0.140195
-2.893e-03,0.140195
-2.890e-03,0.112109
-2.886e-03,0.112109
-2.883e-03,0.0796094
-2.880e-03,0.0796094
-2.877e-03,0.0449609
-2.874e-03,0.0449609
-2.870e-03,0.0111719
-2.867e-03,0.0111719
-2.864e-03,-0.0249609
-2.861e-03,-0.0249609
-2.858e-03,-0.0575391
-2.854e-03,-0.0575391
-2.851e-03,-0.0942969
-2.848e-03,-0.0942969
-2.845e-03,-0.128516
-2.842e-03,-0.128516
-2.838e-03,-0.164922
-2.835e-03,-0.164922
-2.832e-03,-0.198828
-2.829e-03,-0.198828
-2.826e-03,-0.22875
-2.822e-03,-0.22875
-2.819e-03,-0.255508
-2.816e-03,-0.255508
-2.813e-03,-0.285781
-2.810e-03,-0.285781
-2.806e-03,-0.310117
-2.803e-03,-0.310117
-2.800e-03,-0.328398
-2.797e-03,-0.328398
-2.794e-03,-0.348008
-2.790e-03,-0.348008
-2.787e-03,-0.361992
-2.784e-03,-0.361992
-2.781e-03,-0.370703
-2.778e-03,-0.370703
-2.774e-03,-0.377813
-2.771e-03,-0.377813
-2.768e-03,-0.380508
-2.765e-03,-0.380508
-2.762e-03,-0.371875
-2.758e-03,-0.371875
-2.755e-03,-0.365156
-2.752e-03,-0.365156
-2.749e-03,-0.35457
-2.746e-03,-0.35457
-2.742e-03,-0.335273
-2.739e-03,-0.335273
-2.736e-03,-0.311797
-2.733e-03,-0.311797
-2.730e-03,-0.288984
-2.726e-03,-0.288984
-2.723e-03,-0.259883
-2.720e-03,-0.259883
-2.717e-03,-0.226328
-2.714e-03,-0.226328
-2.710e-03,-0.190859
-2.707e-03,-0.190859
-2.704e-03,-0.151094
-2.701e-03,-0.151094
-2.698e-03,-0.111094
-2.694e-03,-0.111094
-2.691e-03,-0.0658984
-2.688e-03,-0.0658984
-2.685e-03,-0.0235156
-2.682e-03,-0.0235156
-2.678e-03,0.0208594
-2.675e-03,0.0208594
-2.672e-03,0.0710156
-2.669e-03,0.0710156
-2.666e-03,0.114688
-2.662e-03,0.114688
-2.659e-03,0.162266
-2.656e-03,0.162266
-2.653e-03,0.206211
-2.650e-03,0.206211
-2.646e-03,0.254414
-2.643e-03,0.254414
-2.640e-03,0.296367
-2.637e-03,0.296367
-2.634e-03,0.334648
-2.630e-03,0.334648
-2.627e-03,0.367891
-2.624e-03,0.367891
-2.621e-03,0.398164
-2.618e-03,0.398164
-2.614e-03,0.425586
-2.611e-03,0.425586
-2.608e-03,0.45
-2.605e-03,0.45
-2.602e-03,0.468438
-2.598e-03,0.468438
-2.595e-03,0.480977
-2.592e-03,0.480977
-2.589e-03,0.490156
-2.586e-03,0.490156
-2.582e-03,0.489141
-2.579e-03,0.489141
-2.576e-03,0.4875
-2.573e-03,0.4875
-2.570e-03,0.475859
-2.566e-03,0.475859
-2.563e-03,0.46
-2.560e-03,0.46
-2.557e-03,0.439727
-2.554e-03,0.439727
-2.550e-03,0.413945
-2.547e-03,0.413945
-2.544e-03,0.384805
-2.541e-03,0.384805
-2.538e-03,0.354844
-2.534e-03,0.354844
-2.531e-03,0.32457
-2.528e-03,0.32457
-2.525e-03,0.295781
-2.522e-03,0.295781
-2.518e-03,0.269844
-2.515e-03,0.269844
-2.512e-03,0.235469
-2.509e-03,0.235469
-2.506e-03,0.20418
-2.502e-03,0.20418
-2.499e-03,0.172461
-2.496e-03,0.172461
-2.493e-03,0.135508
-2.490e-03,0.135508
-2.486e-03,0.0986328
-2.483e-03,0.0986328
-2.480e-03,0.0671094
-2.477e-03,0.0671094
-2.474e-03,0.0346484
-2.470e-03,0.0346484
-2.467e-03,0.00117187
-2.464e-03,0.00117187
-2.461e-03,-0.0333984
-2.458e-03,-0.0333984
-2.454e-03,-0.066875
-2.451e-03,-0.066875
-2.448e-03,-0.0964063
-2.445e-03,-0.0964063
-2.442e-03,-0.119844
-2.438e-03,-0.119844
-2.435e-03,-0.147539
-2.432e-03,-0.147539
-2.429e-03,-0.171367
-2.426e-03,-0.171367
-2.422e-03,-0.192422
-2.419e-03,-0.192422
-2.416e-03,-0.210664
-2.413e-03,-0.210664
-2.410e-03,-0.227109
-2.406e-03,-0.227109
-2.403e-03,-0.241289
-2.400e-03,-0.241289
-2.397e-03,-0.259141
-2.394e-03,-0.259141
-2.390e-03,-0.275313
-2.387e-03,-0.275313
-2.384e-03,-0.288203
-2.381e-03,-0.288203
-2.378e-03,-0.301836
-2.374e-03,-0.301836
-2.371e-03,-0.321172
-2.368e-03,-0.321172
-2.365e-03,-0.340977
-2.362e-03,-0.340977
-2.358e-03,-0.360313
-2.355e-03,-0.360313
-2.352e-03,-0.377695
-2.349e-03,-0.377695
-2.346e-03,-0.397539
-2.342e-03,-0.397539
-2.339e-03,-0.410547
-2.336e-03,-0.410547
-2.333e-03,-0.425586
-2.330e-03,-0.425586
-2.326e-03,-0.434258
-2.323e-03,-0.434258
-2.320e-03,-0.440547
-2.317e-03,-0.440547
-2.314e-03,-0.440938
-2.310e-03,-0.440938
-2.307e-03,-0.44418
-2.304e-03,-0.44418
-2.301e-03,-0.43918
-2.298e-03,-0.43918
-2.294e-03,-0.42332
-2.291e-03,-0.42332
-2.288e-03,-0.408789
-2.285e-03,-0.408789
-2.282e-03,-0.392305
-2.278e-03,-0.392305
-2.275e-03,-0.363203
-2.272e-03,-0.363203
-2.269e-03,-0.334219
-2.266e-03,-0.334219
-2.262e-03,-0.30293
-2.259e-03,-0.30293
-2.256e-03,-0.260469
-2.253e-03,-0.260469
-2.250e-03,-0.218828
-2.246e-03,-0.218828
-2.243e-03,-0.174219
-2.240e-03,-0.174219
-2.237e-03,-0.123867
-2.234e-03,-0.123867
-2.230e-03,-0.0759766
-2.227e-03,-0.0759766
-2.224e-03,-0.0241797
-2.221e-03,-0.0241797
-2.218e-03,0.0299609
-2.214e-03,0.0299609
-2.211e-03,0.0826953
-2.208e-03,0.0826953
-2.205e-03,0.137148
-2.202e-03,0.137148
-2.198e-03,0.190508
-2.195e-03,0.190508
-2.192e-03,0.242539
-2.189e-03,0.242539
-2.186e-03,0.292539
-2.182e-03,0.292539
-2.179e-03,0.340313
-2.176e-03,0.340313
-2.173e-03,0.383828
-2.170e-03,0.383828
-2.166e-03,0.423359
-2.163e-03,0.423359
-2.160e-03,0.458086
-2.157e-03,0.458086
-2.154e-03,0.493984
-2.150e-03,0.493984
-2.147e-03,0.520117
-2.144e-03,0.520117
-2.141e-03,0.539727
-2.138e-03,0.539727
-2.134e-03,0.556133
-2.131e-03,0.556133
-2.128e-03,0.562734
-2.125e-03,0.562734
-2.122e-03,0.564883
-2.118e-03,0.564883
-2.115e-03,0.558438
-2.112e-03,0.558438
-2.109e-03,0.547617
-2.106e-03,0.547617
-2.102e-03,0.530625
-2.099e-03,0.530625
-2.096e-03,0.509375
-2.093e-03,0.509375
-2.090e-03,0.482188
-2.086e-03,0.482188
-2.083e-03,0.451406
-2.080e-03,0.451406
-2.077e-03,0.422852
-2.074e-03,0.422852
-2.070e-03,0.391094
-2.067e-03,0.391094
-2.064e-03,0.354336
-2.061e-03,0.354336
-2.058e-03,0.321367
-2.054e-03,0.321367
-2.051e-03,0.280742
-2.048e-03,0.280742
-2.045e-03,0.241992
-2.042e-03,0.241992
-2.038e-03,0.207266
-2.035e-03,0.207266
-2.032e-03,0.173516
-2.029e-03,0.173516
-2.026e-03,0.142656
-2.022e-03,0.142656
-2.019e-03,0.111602
-2.016e-03,0.111602
-2.013e-03,0.0836328
-2.010e-03,0.0836328
-2.006e-03,0.0561719
-2.003e-03,0.0561719
-2.000e-03,0.0349609
-1.997e-03,0.0349609
-1.994e-03,0.0174609
-1.990e-03,0.0174609
-1.987e-03,0.000624999
-1.984e-03,0.000624999
-1.981e-03,-0.0101172
-1.978e-03,-0.0101172
-1.974e-03,-0.0224219
-1.971e-03,-0.0224219
-1.968e-03,-0.0301953
-1.965e-03,-0.0301953
-1.962e-03,-0.0369922
-1.958e-03,-0.0369922
-1.955e-03,-0.0369141
-1.952e-03,-0.0369141
-1.949e-03,-0.0383984
-1.946e-03,-0.0383984
-1.942e-03,-0.0375
-1.939e-03,-0.0375
-1.936e-03,-0.0333594
-1.933e-03,-0.0333594
-1.930e-03,-0.0316797
-1.926e-03,-0.0316797
-1.923e-03,-0.0271484
-1.920e-03,-0.0271484
-1.917e-03,-0.0241406
-1.914e-03,-0.0241406
-1.910e-03,-0.0180859
-1.907e-03,-0.0180859
-1.904e-03,-0.00507813
-1.901e-03,-0.00507813
-1.898e-03,0.00121094
-1.894e-03,0.00121094
-1.891e-03,0.00902344
-1.888e-03,0.00902344
-1.885e-03,0.0201953
-1.882e-03,0.0201953
-1.878e-03,0.0278906
-1.875e-03,0.0278906
-1.872e-03,0.0351562
-1.869e-03,0.0351562
-1.866e-03,0.041875
-1.862e-03,0.041875
-1.859e-03,0.0519531
-1.856e-03,0.0519531
-1.853e-03,0.0599609
-1.850e-03,0.0599609
-1.846e-03,0.0655859
-1.843e-03,0.0655859
-1.840e-03,0.0744141
-1.837e-03,0.0744141
-1.834e-03,0.0823047
-1.830e-03,0.0823047
-1.827e-03,0.0871875
-1.824e-03,0.0871875
-1.821e-03,0.0927734
-1.818e-03,0.0927734
-1.814e-03,0.0936719
-1.811e-03,0.0936719
-1.808e-03,0.0954297
-1.805e-03,0.0954297
-1.802e-03,0.101016
-1.798e-03,0.101016
-1.795e-03,0.102539
-1.792e-03,0.102539
-1.789e-03,0.101133
-1.786e-03,0.101133
-1.782e-03,0.0941016
-1.779e-03,0.0941016
-1.776e-03,0.0941797
-1.773e-03,0.0941797
-1.770e-03,0.0939453
-1.766e-03,0.0939453
-1.763e-03,0.0864453
-1.760e-03,0.0864453
-1.757e-03,0.0821875
-1.754e-03,0.0821875
-1.750e-03,0.0764453
-1.747e-03,0.0764453
-1.744e-03,0.0637109
-1.741e-03,0.0637109
-1.738e-03,0.0575
-1.734e-03,0.0575
-1.731e-03,0.0488281
-1.728e-03,0.0488281
-1.725e-03,0.0408203
-1.722e-03,0.0408203
-1.718e-03,0.0278125
-1.715e-03,0.0278125
-1.712e-03,0.0165234
-1.709e-03,0.0165234
-1.706e-03,0.00582031
-1.702e-03,0.00582031
-1.699e-03,-0.00917969
-1.696e-03,-0.00917969
-1.693e-03,-0.0205469
-1.690e-03,-0.0205469
-1.686e-03,-0.0326172
-1.683e-03,-0.0326172
-1.680e-03,-0.0420313
-1.677e-03,-0.0420313
-1.674e-03,-0.0538281
-1.670e-03,-0.0538281
-1.667e-03,-0.0682813
-1.664e-03,-0.0682813
-1.661e-03,-0.0760156
-1.658e-03,-0.0760156
-1.654e-03,-0.0859766
-1.651e-03,-0.0859766
-1.648e-03,-0.0968359
-1.645e-03,-0.0968359
-1.642e-03,-0.104609
-1.638e-03,-0.104609
-1.635e-03,-0.111016
-1.632e-03,-0.111016
-1.629e-03,-0.113984
-1.626e-03,-0.113984
-1.622e-03,-0.116641
-1.619e-03,-0.116641
-1.616e-03,-0.12207
-1.613e-03,-0.12207
-1.610e-03,-0.122227
-1.606e-03,-0.122227
-1.603e-03,-0.121406
-1.600e-03,-0.121406
-1.597e-03,-0.120195
-1.594e-03,-0.120195
-1.590e-03,-0.11582
-1.587e-03,-0.11582
-1.584e-03,-0.111328
-1.581e-03,-0.111328
-1.578e-03,-0.103398
-1.574e-03,-0.103398
-1.571e-03,-0.0951172
-1.568e-03,-0.0951172
-1.565e-03,-0.0907422
-1.562e-03,-0.0907422
-1.558e-03,-0.0760547
-1.555e-03,-0.0760547
-1.552e-03,-0.0641797
-1.549e-03,-0.0641797
-1.546e-03,-0.0507422
-1.542e-03,-0.0507422
-1.539e-03,-0.0394531
-1.536e-03,-0.0394531
-1.533e-03,-0.0240234
-1.530e-03,-0.0240234
-1.526e-03,-0.0090625
-1.523e-03,-0.0090625
-1.520e-03,0.00332031
-1.517e-03,0.00332031
-1.514e-03,0.0167578
-1.510e-03,0.0167578
-1.507e-03,0.0334375
-1.504e-03,0.0334375
-1.501e-03,0.0503125
-1.498e-03,0.0503125
-1.494e-03,0.0682031
-1.491e-03,0.0682031
-1.488e-03,0.0822266
-1.485e-03,0.0822266
-1.482e-03,0.0975391
-1.478e-03,0.0975391
-1.475e-03,0.111602
-1.472e-03,0.111602
-1.469e-03,0.125547
-1.466e-03,0.125547
-1.462e-03,0.132617
-1.459e-03,0.132617
-1.456e-03,0.147578
-1.453e-03,0.147578
-1.450e-03,0.156055
-1.446e-03,0.156055
-1.443e-03,0.162695
-1.440e-03,0.162695
-1.437e-03,0.166484
-1.434e-03,0.166484
-1.430e-03,0.167188
-1.427e-03,0.167188
-1.424e-03,0.171523
-1.421e-03,0.171523
-1.418e-03,0.170586
-1.414e-03,0.170586
-1.411e-03,0.165469
-1.408e-03,0.165469
-1.405e-03,0.160547
-1.402e-03,0.160547
-1.398e-03,0.154219
-1.395e-03,0.154219
-1.392e-03,0.147773
-1.389e-03,0.147773
-1.386e-03,0.136445
-1.382e-03,0.136445
-1.379e-03,0.124883
-1.376e-03,0.124883
-1.373e-03,0.109609
-1.370e-03,0.109609
-1.366e-03,0.0936328
-1.363e-03,0.0936328
-1.360e-03,0.0781641
-1.357e-03,0.0781641
-1.354e-03,0.0581641
-1.350e-03,0.0581641
-1.347e-03,0.0412891
-1.344e-03,0.0412891
-1.341e-03,0.0226172
-1.338e-03,0.0226172
-1.334e-03,0.00171875
-1.331e-03,0.00171875
-1.328e-03,-0.0181641
-1.325e-03,-0.0181641
-1.322e-03,-0.0391016
-1.318e-03,-0.0391016
-1.315e-03,-0.0601563
-1.312e-03,-0.0601563
-1.309e-03,-0.0805469
-1.306e-03,-0.0805469
-1.302e-03,-0.100859
-1.299e-03,-0.100859
-1.296e-03,-0.115273
-1.293e-03,-0.115273
