Model,TBS2074
Firmware Version,v1.25.03

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-3.200e-03,-0.814063
-3.197e-03,-0.964648
-3.194e-03,-0.964648
-3.190e-03,-1.11992
-3.187e-03,-1.11992
-3.184e-03,-1.26289
-3.181e-03,-1.26289
-3.178e-03,-1.38301
-3.174e-03,-1.38301
-3.171e-03,-1.49277
-3.168e-03,-1.49277
-3.165e-03,-1.58789
-3.162e-03,-1.58789
-3.158e-03,-1.67168
-3.155e-03,-1.67168
-3.152e-03,-1.75391
-3.149e-03,-1.75391
-3.146e-03,-1.81719
-3.142e-03,-1.81719
-3.139e-03,-1.86387
-3.136e-03,-1.86387
-3.133e-03,-1.91875
-3.130e-03,-1.91875
-3.126e-03,-1.96152
-3.123e-03,-1.96152
-3.120e-03,-1.99023
-3.117e-03,-1.99023
-3.114e-03,-2.01816
-3.110e-03,-2.01816
-3.107e-03,-2.03848
-3.104e-03,-2.03848
-3.101e-03,-2.04277
-3.098e-03,-2.04277
-3.094e-03,-2.04961
-3.091e-03,-2.04961
-3.088e-03,-2.0457
-3.085e-03,-2.0457
-3.082e-03,-2.03887
-3.078e-03,-2.03887
-3.075e-03,-2.02617
-3.072e-03,-2.02617
-3.069e-03,-2.00313
-3.066e-03,-2.00313
-3.062e-03,-1.98535
-3.059e-03,-1.98535
-3.056e-03,-1.95332
-3.053e-03,-1.95332
-3.050e-03,-1.91777
-3.046e-03,-1.91777
-3.043e-03,-1.87246
-3.040e-03,-1.87246
-3.037e-03,-1.83672
-3.034e-03,-1.83672
-3.030e-03,-1.78828
-3.027e-03,-1.78828
-3.024e-03,-1.73477
-3.021e-03,-1.73477
-3.018e-03,-1.68008
-3.014e-03,-1.68008
-3.011e-03,-1.62734
-3.008e-03,-1.62734
-3.005e-03,-1.56992
-3.002e-03,-1.56992
-2.998e-03,-1.51426
-2.995e-03,-1.51426
-2.992e-03,-1.45957
-2.989e-03,-1.45957
-2.986e-03,-1.40605
-2.982e-03,-1.40605
-2.979e-03,-1.35938
-2.976e-03,-1.35938
-2.973e-03,-1.31133
-2.970e-03,-1.31133
-2.966e-03,-1.26211
-2.963e-03,-1.26211
-2.960e-03,-1.21719
-2.957e-03,-1.21719
-2.954e-03,-1.17969
-2.950e-03,-1.17969
-2.947e-03,-1.14785
-2.944e-03,-1.14785
-2.941e-03,-1.12383
-2.938e-03,-1.12383
-2.934e-03,-1.09844
-2.931e-03,-1.09844
-2.928e-03,-1.07793
-2.925e-03,-1.07793
-2.922e-03,-1.06953
-2.918e-03,-1.06953
-2.915e-03,-1.06484
-2.912e-03,-1.06484
-2.909e-03,-1.0709
-2.906e-03,-1.0709
-2.902e-03,-1.08184
-2.899e-03,-1.08184
-2.896e-03,-1.09121
-2.893e-03,-1.09121
-2.890e-03,-1.12324
-2.886e-03,-1.12324
-2.883e-03,-1.15176
-2.880e-03,-1.15176
-2.877e-03,-1.18672
-2.874e-03,-1.18672
-2.870e-03,-1.23223
-2.867e-03,-1.23223
-2.864e-03,-1.2873
-2.861e-03,-1.2873
-2.858e-03,-1.34297
-2.854e-03,-1.34297
-2.851e-03,-1.40664
-2.848e-03,-1.40664
-2.845e-03,-1.47012
-2.842e-03,-1.47012
-2.838e-03,-1.53945
-2.835e-03,-1.53945
-2.832e-03,-1.61758
-2.829e-03,-1.61758
-2.826e-03,-1.6873
-2.822e-03,-1.6873
-2.819e-03,-1.75273
-2.816e-03,-1.75273
-2.813e-03,-1.83418
-2.810e-03,-1.83418
-2.806e-03,-1.90176
-2.803e-03,-1.90176
-2.800e-03,-1.98027
-2.797e-03,-1.98027
-2.794e-03,-2.04297
-2.790e-03,-2.04297
-2.787e-03,-2.11328
-2.784e-03,-2.11328
-2.781e-03,-2.17578
-2.778e-03,-2.17578
-2.774e-03,-2.23516
-2.771e-03,-2.23516
-2.768e-03,-2.29316
-2.765e-03,-2.29316
-2.762e-03,-2.33691
-2.758e-03,-2.33691
-2.755e-03,-2.38203
-2.752e-03,-2.38203
-2.749e-03,-2.40176
-2.746e-03,-2.40176
-2.742e-03,-2.42754
-2.739e-03,-2.42754
-2.736e-03,-2.44199
-2.733e-03,-2.44199
-2.730e-03,-2.45078
-2.726e-03,-2.45078
-2.723e-03,-2.44297
-2.720e-03,-2.44297
-2.717e-03,-2.42734
-2.714e-03,-2.42734
-2.710e-03,-2.40488
-2.707e-03,-2.40488
-2.704e-03,-2.37051
-2.701e-03,-2.37051
-2.698e-03,-2.32988
-2.694e-03,-2.32988
-2.691e-03,-2.27852
-2.688e-03,-2.27852
-2.685e-03,-2.22363
-2.682e-03,-2.22363
-2.678e-03,-2.15918
-2.675e-03,-2.15918
-2.672e-03,-2.09063
-2.669e-03,-2.09063
-2.666e-03,-2.01113
-2.662e-03,-2.01113
-2.659e-03,-1.9209
-2.656e-03,-1.9209
-2.653e-03,-1.83945
-2.650e-03,-1.83945
-2.646e-03,-1.73281
-2.643e-03,-1.73281
-2.640e-03,-1.65234
-2.637e-03,-1.65234
-2.634e-03,-1.54863
-2.630e-03,-1.54863
-2.627e-03,-1.44629
-2.624e-03,-1.44629
-2.621e-03,-1.34863
-2.618e-03,-1.34863
-2.614e-03,-1.25977
-2.611e-03,-1.25977
-2.608e-03,-1.17051
-2.605e-03,-1.17051
-2.602e-03,-1.07363
-2.598e-03,-1.07363
-2.595e-03,-0.992773
-2.592e-03,-0.992773
-2.589e-03,-0.913281
-2.586e-03,-0.913281
-2.582e-03,-0.842578
-2.579e-03,-0.842578
-2.576e-03,-0.777148
-2.573e-03,-0.777148
-2.570e-03,-0.729492
-2.566e-03,-0.729492
-2.563e-03,-0.699414
-2.560e-03,-0.699414
-2.557e-03,-0.643359
-2.554e-03,-0.643359
-2.550e-03,-0.570117
-2.547e-03,-0.570117
-2.544e-03,-0.497852
-2.541e-03,-0.497852
-2.538e-03,-0.413086
-2.534e-03,-0.413086
-2.531e-03,-0.317969
-2.528e-03,-0.317969
-2.525e-03,-0.239063
-2.522e-03,-0.239063
-2.518e-03,-0.155859
-2.515e-03,-0.155859
-2.512e-03,-0.0820313
-2.509e-03,-0.0820313
-2.506e-03,-0.0433594
-2.502e-03,-0.0433594
-2.499e-03,-0.0251953
-2.496e-03,-0.0251953
-2.493e-03,-0.0144531
-2.490e-03,-0.0144531
-2.486e-03,-0.0208984
-2.483e-03,-0.0208984
-2.480e-03,-0.0271484
-2.477e-03,-0.0271484
-2.474e-03,-0.03125
-2.470e-03,-0.03125
-2.467e-03,-0.0328125
-2.464e-03,-0.0328125
-2.461e-03,-0.0410156
-2.458e-03,-0.0410156
-2.454e-03,-0.0519531
-2.451e-03,-0.0519531
-2.448e-03,-0.0830078
-2.445e-03,-0.0830078
-2.442e-03,-0.116797
-2.438e-03,-0.116797
-2.435e-03,-0.149219
-2.432e-03,-0.149219
-2.429e-03,-0.172461
-2.426e-03,-0.172461
-2.422e-03,-0.19668
-2.419e-03,-0.19668
-2.416e-03,-0.232227
-2.413e-03,-0.232227
-2.410e-03,-0.301758
-2.406e-03,-0.301758
-2.403e-03,-0.402734
-2.400e-03,-0.402734
-2.397e-03,-0.51875
-2.394e-03,-0.51875
-2.390e-03,-0.637891
-2.387e-03,-0.637891
-2.384e-03,-0.774023
-2.381e-03,-0.774023
-2.378e-03,-0.933594
-2.374e-03,-0.933594
-2.371e-03,-1.10117
-2.368e-03,-1.10117
-2.365e-03,-1.27051
-2.362e-03,-1.27051
-2.358e-03,-1.42754
-2.355e-03,-1.42754
-2.352e-03,-1.57891
-2.349e-03,-1.57891
-2.346e-03,-1.71035
-2.342e-03,-1.71035
-2.339e-03,-1.82578
-2.336e-03,-1.82578
-2.333e-03,-1.94531
-2.330e-03,-1.94531
-2.326e-03,-2.0543
-2.323e-03,-2.0543
-2.320e-03,-2.14766
-2.317e-03,-2.14766
-2.314e-03,-2.22285
-2.310e-03,-2.22285
-2.307e-03,-2.3
-2.304e-03,-2.3
-2.301e-03,-2.36445
-2.298e-03,-2.36445
-2.294e-03,-2.41836
-2.291e-03,-2.41836
-2.288e-03,-2.47168
-2.285e-03,-2.47168
-2.282e-03,-2.50039
-2.278e-03,-2.50039
-2.275e-03,-2.5207
-2.272e-03,-2.5207
-2.269e-03,-2.53086
-2.266e-03,-2.53086
-2.262e-03,-2.52227
-2.259e-03,-2.52227
-2.256e-03,-2.50781
-2.253e-03,-2.50781
-2.250e-03,-2.49336
-2.246e-03,-2.49336
-2.243e-03,-2.45488
-2.240e-03,-2.45488
-2.237e-03,-2.41465
-2.234e-03,-2.41465
-2.230e-03,-2.34922
-2.227e-03,-2.34922
-2.224e-03,-2.2832
-2.221e-03,-2.2832
-2.218e-03,-2.20977
-2.214e-03,-2.20977
-2.211e-03,-2.13457
-2.208e-03,-2.13457
-2.205e-03,-2.04141
-2.202e-03,-2.04141
-2.198e-03,-1.9457
-2.195e-03,-1.9457
-2.192e-03,-1.84219
-2.189e-03,-1.84219
-2.186e-03,-1.73848
-2.182e-03,-1.73848
-2.179e-03,-1.6293
-2.176e-03,-1.6293
-2.173e-03,-1.51016
-2.170e-03,-1.51016
-2.166e-03,-1.40449
-2.163e-03,-1.40449
-2.160e-03,-1.28867
-2.157e-03,-1.28867
-2.154e-03,-1.18633
-2.150e-03,-1.18633
-2.147e-03,-1.07461
-2.144e-03,-1.07461
-2.141e-03,-0.976758
-2.138e-03,-0.976758
-2.134e-03,-0.88125
-2.131e-03,-0.88125
-2.128e-03,-0.791211
-2.125e-03,-0.791211
-2.122e-03,-0.713086
-2.118e-03,-0.713086
-2.115e-03,-0.645313
-2.112e-03,-0.645313
-2.109e-03,-0.589453
-2.106e-03,-0.589453
-2.102e-03,-0.52793
-2.099e-03,-0.52793
-2.096e-03,-0.443359
-2.093e-03,-0.443359
-2.090e-03,-0.348438
-2.086e-03,-0.348438
-2.083e-03,-0.237695
-2.080e-03,-0.237695
-2.077e-03,-0.116406
-2.074e-03,-0.116406
-2.070e-03,-0.0222656
-2.067e-03,-0.0222656
-2.064e-03,0.0380859
-2.061e-03,0.0380859
-2.058e-03,0.0820312
-2.054e-03,0.0820312
-2.051e-03,0.137891
-2.048e-03,0.137891
-2.045e-03,0.224219
-2.042e-03,0.224219
-2.038e-03,0.321094
-2.035e-03,0.321094
-2.032e-03,0.401367
-2.029e-03,0.401367
-2.026e-03,0.478125
-2.022e-03,0.478125
-2.019e-03,0.558398
-2.016e-03,0.558398
-2.013e-03,0.623633
-2.010e-03,0.623633
-2.006e-03,0.690625
-2.003e-03,0.690625
-2.000e-03,0.750781
-1.997e-03,0.750781
-1.994e-03,0.801758
-1.990e-03,0.801758
-1.987e-03,0.849219
-1.984e-03,0.849219
-1.981e-03,0.906445
-1.978e-03,0.906445
-1.974e-03,0.962109
-1.971e-03,0.962109
-1.968e-03,0.998437
-1.965e-03,0.998437
-1.962e-03,1.03867
-1.958e-03,1.03867
-1.955e-03,1.07187
-1.952e-03,1.07187
-1.949e-03,1.0916
-1.946e-03,1.0916
-1.942e-03,1.11465
-1.939e-03,1.11465
-1.936e-03,1.12852
-1.933e-03,1.12852
-1.930e-03,1.15059
-1.926e-03,1.15059
-1.923e-03,1.18437
-1.920e-03,1.18437
-1.917e-03,1.2
-1.914e-03,1.2
-1.910e-03,1.21055
-1.907e-03,1.21055
-1.904e-03,1.22832
-1.901e-03,1.22832
-1.898e-03,1.25156
-1.894e-03,1.25156
-1.891e-03,1.26426
-1.888e-03,1.26426
-1.885e-03,1.28867
-1.882e-03,1.28867
-1.878e-03,1.30449
-1.875e-03,1.30449
-1.872e-03,1.3293
-1.869e-03,1.3293
-1.866e-03,1.34902
-1.862e-03,1.34902
-1.859e-03,1.37246
-1.856e-03,1.37246
-1.853e-03,1.38457
-1.850e-03,1.38457
-1.846e-03,1.40547
-1.843e-03,1.40547
-1.840e-03,1.42734
-1.837e-03,1.42734
-1.834e-03,1.45254
-1.830e-03,1.45254
-1.827e-03,1.47168
-1.824e-03,1.47168
-1.821e-03,1.49141
-1.818e-03,1.49141
-1.814e-03,1.5082
-1.811e-03,1.5082
-1.808e-03,1.52695
-1.805e-03,1.52695
-1.802e-03,1.54375
-1.798e-03,1.54375
-1.795e-03,1.55527
-1.792e-03,1.55527
-1.789e-03,1.57344
-1.786e-03,1.57344
-1.782e-03,1.58223
-1.779e-03,1.58223
-1.776e-03,1.59219
-1.773e-03,1.59219
-1.770e-03,1.60957
-1.766e-03,1.60957
-1.763e-03,1.60566
-1.760e-03,1.60566
-1.757e-03,1.60352
-1.754e-03,1.60352
-1.750e-03,1.61504
-1.747e-03,1.61504
-1.744e-03,1.60137
-1.741e-03,1.60137
-1.738e-03,1.59902
-1.734e-03,1.59902
-1.731e-03,1.59922
-1.728e-03,1.59922
-1.725e-03,1.58418
-1.722e-03,1.58418
-1.718e-03,1.57637
-1.715e-03,1.57637
-1.712e-03,1.57012
-1.709e-03,1.57012
-1.706e-03,1.55703
-1.702e-03,1.55703
-1.699e-03,1.53809
-1.696e-03,1.53809
-1.693e-03,1.51875
-1.690e-03,1.51875
-1.686e-03,1.49043
-1.683e-03,1.49043
-1.680e-03,1.46484
-1.677e-03,1.46484
-1.674e-03,1.44629
-1.670e-03,1.44629
-1.667e-03,1.42168
-1.664e-03,1.42168
-1.661e-03,1.39707
-1.658e-03,1.39707
-1.654e-03,1.37207
-1.651e-03,1.37207
-1.648e-03,1.34824
-1.645e-03,1.34824
-1.642e-03,1.31738
-1.638e-03,1.31738
-1.635e-03,1.29473
-1.632e-03,1.29473
-1.629e-03,1.27832
-1.626e-03,1.27832
-1.622e-03,1.2543
-1.619e-03,1.2543
-1.616e-03,1.23086
-1.613e-03,1.23086
-1.610e-03,1.22148
-1.606e-03,1.22148
-1.603e-03,1.19453
-1.600e-03,1.19453
-1.597e-03,1.18437
-1.594e-03,1.18437
-1.590e-03,1.1752
-1.587e-03,1.1752
-1.584e-03,1.16875
-1.581e-03,1.16875
-1.578e-03,1.15645
-1.574e-03,1.15645
-1.571e-03,1.15723
-1.568e-03,1.15723
-1.565e-03,1.15156
-1.562e-03,1.15156
-1.558e-03,1.15781
-1.555e-03,1.15781
-1.552e-03,1.16504
-1.549e-03,1.16504
-1.546e-03,1.17187
-1.542e-03,1.17187
-1.539e-03,1.18086
-1.536e-03,1.18086
-1.533e-03,1.19219
-1.530e-03,1.19219
-1.526e-03,1.21328
-1.523e-03,1.21328
-1.520e-03,1.2459
-1.517e-03,1.2459
-1.514e-03,1.26641
-1.510e-03,1.26641
-1.507e-03,1.29258
-1.504e-03,1.29258
-1.501e-03,1.32129
-1.498e-03,1.32129
-1.494e-03,1.34766
-1.491e-03,1.34766
-1.488e-03,1.37949
-1.485e-03,1.37949
-1.482e-03,1.40879
-1.478e-03,1.40879
-1.475e-03,1.44668
-1.472e-03,1.44668
-1.469e-03,1.48516
-1.466e-03,1.48516
-1.462e-03,1.50078
-1.459e-03,1.50078
-1.456e-03,1.53867
-1.453e-03,1.53867
-1.450e-03,1.57598
-1.446e-03,1.57598
-1.443e-03,1.61055
-1.440e-03,1.61055
-1.437e-03,1.63516
-1.434e-03,1.63516
-1.430e-03,1.65996
-1.427e-03,1.65996
-1.424e-03,1.68203
-1.421e-03,1.68203
-1.418e-03,1.71211
-1.414e-03,1.71211
-1.411e-03,1.72266
-1.408e-03,1.72266
-1.405e-03,1.7332
-1.402e-03,1.7332
-1.398e-03,1.75723
-1.395e-03,1.75723
-1.392e-03,1.75645
-1.389e-03,1.75645
-1.386e-03,1.76328
-1.382e-03,1.76328
-1.379e-03,1.76582
-1.376e-03,1.76582
-1.373e-03,1.76172
-1.370e-03,1.76172
-1.366e-03,1.74824
-1.363e-03,1.74824
-1.360e-03,1.7416
-1.357e-03,1.7416
-1.354e-03,1.72305
-1.350e-03,1.72305
-1.347e-03,1.71074
-1.344e-03,1.71074
-1.341e-03,1.67793
-1.338e-03,1.67793
-1.334e-03,1.64805
-1.331e-03,1.64805
-1.328e-03,1.61621
-1.325e-03,1.61621
-1.322e-03,1.58418
-1.318e-03,1.58418
-1.315e-03,1.54785
-1.312e-03,1.54785
-1.309e-03,1.51172
-1.306e-03,1.51172
-1.302e-03,1.46895
-1.299e-03,1.46895
-1.296e-03,1.42871
-1.293e-03,1.42871
-1.290e-03,1.38691
-1.286e-03,1.38691
-1.283e-03,1.34375
-1.280e-03,1.34375
-1.277e-03,1.30059
-1.274e-03,1.30059
-1.270e-03,1.24961
-1.267e-03,1.24961
